mission,date,date_time,latitude,longitude,sample_type,snow_thickness,sample_thickness_cm_average,sample_thickness_cm_sd,pi
ice_camp_2016,2016-07-01,2016-07-01T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,1.75,1.43759057685652,"Galindo, V."
ice_camp_2016,2016-07-04,2016-07-04T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,2.64705882352941,1.36661884182223,"Galindo, V."
ice_camp_2016,2016-07-06,2016-07-06T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,1.58333333333333,1.56427928995103,"Galindo, V."
ice_camp_2016,2016-07-08,2016-07-08T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,1.76666666666667,0.371611676478603,"Galindo, V."
ice_camp_2016,2016-05-02,2016-05-02T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,119.25,6.23832242407097,"Galindo, V."
ice_camp_2016,2016-05-04,2016-05-04T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,120.833333333333,3.54494945897211,"Galindo, V."
ice_camp_2016,2016-05-06,2016-05-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,129.428571428571,0.975900072948533,"Galindo, V."
ice_camp_2016,2016-05-09,2016-05-09T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,114.25,0.462910049886276,"Galindo, V."
ice_camp_2016,2016-05-11,2016-05-11T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,124,5.87974732207334,"Galindo, V."
ice_camp_2016,2016-05-13,2016-05-13T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,118.571428571429,1.81265393434993,"Galindo, V."
ice_camp_2016,2016-05-16,2016-05-16T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,128.285714285714,4.23140188409963,"Galindo, V."
ice_camp_2016,2016-05-18,2016-05-18T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,142.777777777778,7.39556924411126,"Galindo, V."
ice_camp_2016,2016-05-20,2016-05-20T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,120.875,8.45893441448575,"Galindo, V."
ice_camp_2016,2016-05-23,2016-05-23T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,133,8.38152730712011,"Galindo, V."
ice_camp_2016,2016-05-25,2016-05-25T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,134.538461538462,7.7418277839214,"Galindo, V."
ice_camp_2016,2016-05-27,2016-05-27T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,127.733333333333,11.1321071466192,"Galindo, V."
ice_camp_2016,2016-05-30,2016-05-30T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,149.307692307692,7.71777834380481,"Galindo, V."
